#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
DTOO179,V-17759,SV-52714,SV-52714r6_rule,V-228543,SV-228543r508020_rule
DTOO180,V-17773,SV-52715,SV-52715r4_rule,V-228544,SV-228544r508020_rule
DTOO182,V-17627,SV-52719,SV-52719r5_rule,V-228517,SV-228517r508020_rule
DTOO183,V-17664,SV-52720,SV-52720r5_rule,V-228528,SV-228528r508020_rule
DTOO184,V-17612,SV-52721,SV-52721r4_rule,V-228529,SV-228529r508020_rule
DTOO185,V-17740,SV-52722,SV-52722r4_rule,V-228530,SV-228530r508020_rule
DTOO186,V-17590,SV-52723,SV-52723r4_rule,V-228551,SV-228551r508020_rule
DTOO187,V-17769,SV-52724,SV-52724r4_rule,V-228560,SV-228560r508020_rule
DTOO188,V-17768,SV-52725,SV-52725r4_rule,V-228547,SV-228547r508020_rule
DTOO189,V-17619,SV-52726,SV-52726r5_rule,V-228548,SV-228548r508020_rule
DTOO190,V-17617,SV-52727,SV-52727r5_rule,V-228549,SV-228549r508020_rule
DTOO191,V-17547,SV-52728,SV-52728r4_rule,V-228557,SV-228557r508020_rule
DTOO192,V-17750,SV-52729,SV-52729r4_rule,V-228552,SV-228552r508020_rule
DTOO193,V-17741,SV-52730,SV-52730r3_rule,V-228545,SV-228545r557514_rule
DTOO194,V-17659,SV-52731,SV-52731r4_rule,V-228558,SV-228558r508020_rule
DTOO195,V-17665,SV-52744,SV-52744r2_rule,V-228550,SV-228550r508020_rule
DTOO196,V-17560,SV-52745,SV-52745r4_rule,V-228518,SV-228518r508020_rule
DTOO197,V-17669,SV-52746,SV-52746r4_rule,V-228519,SV-228519r508020_rule
DTOO198,V-17661,SV-52747,SV-52747r4_rule,V-228531,SV-228531r508020_rule
DTOO199,V-17765,SV-52748,SV-52748r3_rule,V-228554,SV-228554r557517_rule
DTOO200,V-17583,SV-52749,SV-52749r4_rule,V-228555,SV-228555r508020_rule
DTOO201,V-17731,SV-52750,SV-52750r4_rule,V-228556,SV-228556r508020_rule
DTOO203,V-17749,SV-52751,SV-52751r4_rule,V-228520,SV-228520r508020_rule
DTOO204,V-17805,SV-52752,SV-52752r4_rule,V-228521,SV-228521r508020_rule
DTOO206,V-17660,SV-52753,SV-52753r4_rule,V-228522,SV-228522r508020_rule
DTOO207,V-17605,SV-52754,SV-52754r4_rule,V-228559,SV-228559r508020_rule
DTOO208,V-17670,SV-52755,SV-52755r4_rule,V-228516,SV-228516r508020_rule
DTOO212,V-17581,SV-52756,SV-52756r4_rule,V-228523,SV-228523r508020_rule
DTOO321,V-26704,SV-52757,SV-52757r4_rule,V-228561,SV-228561r508020_rule
DTOO345,V-26630,SV-52758,SV-52758r5_rule,V-228532,SV-228532r508020_rule
DTOO401,V-40858,SV-53190,SV-53190r1_rule,V-228562,SV-228562r508020_rule
DTOO402,V-40859,SV-53191,SV-53191r1_rule,V-228524,SV-228524r508020_rule
DTOO403,V-40860,SV-53192,SV-53192r4_rule,V-228533,SV-228533r508020_rule
DTOO404,V-40861,SV-53193,SV-53193r4_rule,V-228534,SV-228534r508020_rule
DTOO405,V-40862,SV-53194,SV-53194r4_rule,V-228535,SV-228535r508020_rule
DTOO406,V-40863,SV-53195,SV-53195r4_rule,V-228536,SV-228536r508020_rule
DTOO407,V-40864,SV-53196,SV-53196r6_rule,V-228537,SV-228537r508020_rule
DTOO408,V-40875,SV-53207,SV-53207r4_rule,V-228538,SV-228538r508020_rule
DTOO409,V-40879,SV-53211,SV-53211r4_rule,V-228546,SV-228546r508020_rule
DTOO410,V-40880,SV-53212,SV-53212r4_rule,V-228525,SV-228525r508020_rule
DTOO411,V-40881,SV-53213,SV-53213r5_rule,V-228539,SV-228539r508020_rule
DTOO412,V-40882,SV-53214,SV-53214r5_rule,V-228526,SV-228526r508020_rule
DTOO413,V-40883,SV-53215,SV-53215r5_rule,V-228553,SV-228553r508020_rule
DTOO414,V-40884,SV-53216,SV-53216r5_rule,V-228540,SV-228540r508020_rule
DTOO415,V-40885,SV-53217,SV-53217r5_rule,V-228541,SV-228541r508020_rule
DTOO416,V-40886,SV-53218,SV-53218r5_rule,V-228527,SV-228527r508020_rule
DTOO417,V-40887,SV-53219,SV-53219r5_rule,V-228542,SV-228542r508020_rule
